=====================================================================================
🏛️ QM MASS-BACKTEST ERGEBNISSE | Margin: $5,000
=====================================================================================
Coin         | TF    | Trades   | Win Rate   | Max DD   | Netto PnL   
TRUUSDT      | 4h    | 13       | 30.77 %   | 27.00 % | $+14,083.14
LQTYUSDT     | 1h    | 66       | 31.82 %   | 26.83 % | $+917.88
LQTYUSDT     | 4h    | 10       | 10.00 %   | 45.08 % | $-37,382.27
USDCUSDT     | 1h    | 33       |  9.09 %   |  2.03 % | $-2,026.74
USDCUSDT     | 4h    | 13       | 38.46 %   |  0.56 % | $-442.04
IDUSDT       | 1h    | 52       | 30.77 %   | 30.87 % | $+633.89
IDUSDT       | 4h    | 14       | 21.43 %   | 24.97 % | $-2,396.32
ARBUSDT      | 1h    | 48       | 27.08 %   | 34.82 % | $-9,822.64
ARBUSDT      | 4h    | 9        | 55.56 %   |  7.20 % | $+35,711.02
JOEUSDT      | 1h    | 53       | 35.85 %   | 11.38 % | $+33,825.06
JOEUSDT      | 4h    | 12       | 25.00 %   | 16.14 % | $+11,095.19
TLMUSDT      | 1h    | 61       | 36.07 %   | 22.02 % | $+35,919.26
TLMUSDT      | 4h    | 11       | 36.36 %   | 34.29 % | $+20,217.44
RDNTUSDT     | 1h    | 67       | 28.36 %   | 32.71 % | $-249.83
RDNTUSDT     | 4h    | 11       | 45.45 %   | 13.11 % | $+19,620.69
HFTUSDT      | 1h    | 63       | 33.33 %   | 29.45 % | $+37,002.18
HFTUSDT      | 4h    | 18       | 33.33 %   | 47.08 % | $-17,384.26
XVSUSDT      | 1h    | 59       | 27.12 %   | 37.83 % | $-30,812.73
XVSUSDT      | 4h    | 12       | 50.00 %   |  5.12 % | $+45,765.54
BLURUSDT     | 1h    | 68       | 27.94 %   | 29.61 % | $-4,425.19
BLURUSDT     | 4h    | 16       | 31.25 %   | 23.13 % | $+16,124.13
EDUUSDT      | 1h    | 60       | 33.33 %   | 54.94 % | $-9,807.61
EDUUSDT      | 4h    | 11       | 36.36 %   | 30.59 % | $+15,250.26
SUIUSDT      | 1h    | 64       | 31.25 %   | 16.14 % | $+20,993.55
SUIUSDT      | 4h    | 13       | 38.46 %   | 12.63 % | $+24,046.47
1000PEPEUSDT | 1h    | 77       | 23.38 %   | 62.84 % | $-51,353.79
1000PEPEUSDT | 4h    | 13       | 15.38 %   | 23.06 % | $-7,016.07
