===========================================================================
📊 SMC MASS BACKTEST | Margin: $1,000 | SL: 0.4%
===========================================================================
Coin            | Trades   | Win Rate   | Max DD   | Netto PnL   
POLUSDT         | 13       | 23.08 %   |  6.14 % | $-3,946.62
1MBABYDOGEUSDT  | 14       | 28.57 %   |  6.50 % | $-4,007.53
NEIROUSDT       | 6        | 33.33 %   |  1.96 % | $+1,969.27
FIDAUSDT        | 13       | 23.08 %   |  7.92 % | $-7,105.53
FIOUSDT         | 15       | 20.00 %   |  5.82 % | $-5,822.54
CATIUSDT        | 5        | 60.00 %   |  0.89 % | $+7,621.08
HMSTRUSDT       | 5        |  0.00 %   |  5.23 % | $-5,230.65
COSUSDT         | 20       | 30.00 %   |  5.13 % | $-2,489.87
EIGENUSDT       | 11       | 54.55 %   |  4.33 % | $+3,064.18
DIAUSDT         | 13       | 38.46 %   |  3.76 % | $-246.73
1000CATUSDT     | 8        | 25.00 %   |  4.08 % | $-4,079.99
SCRUSDT         | 8        | 62.50 %   |  0.79 % | $+8,532.77
GOATUSDT        | 11       |  9.09 %   |  6.11 % | $-6,113.03
MOODENGUSDT     | 3        | 33.33 %   |  1.69 % | $+86.93
SAFEUSDT        | 11       | 18.18 %   |  6.55 % | $-4,962.96
SANTOSUSDT      | 9        | 33.33 %   |  4.54 % | $+1,876.19
COWUSDT         | 6        | 33.33 %   |  1.44 % | $+1,427.64
CETUSUSDT       | 12       | 25.00 %   |  5.47 % | $-2,442.08
1000000MOGUSDT  | 5        | 20.00 %   |  4.23 % | $-3,585.39
GRASSUSDT       | 8        | 12.50 %   |  5.91 % | $-5,907.23
DRIFTUSDT       | 11       | 36.36 %   |  2.60 % | $+9,372.51
ACTUSDT         | 9        | 33.33 %   |  4.21 % | $-2,716.84
PNUTUSDT        | 13       | 30.77 %   |  5.12 % | $+6,847.50
HIPPOUSDT       | 5        | 60.00 %   |  2.42 % | $+11,531.58
DEGENUSDT       | 6        | 33.33 %   |  2.86 % | $+552.28
BANUSDT         | 9        | 66.67 %   |  1.18 % | $+9,502.00
AKTUSDT         | 11       |  9.09 %   |  6.88 % | $-6,768.93
SCRTUSDT        | 13       | 23.08 %   |  5.00 % | $+2,639.93
1000CHEEMSUSDT  | 9        | 44.44 %   |  2.66 % | $+1,976.73
1000WHYUSDT     | 6        | 16.67 %   |  3.98 % | $-1,284.30
THEUSDT         | 14       | 21.43 %   |  3.92 % | $-2,252.96
MORPHOUSDT      | 12       | 50.00 %   |  2.45 % | $+4,802.06
CHILLGUYUSDT    | 8        | 25.00 %   |  4.39 % | $-3,376.02
KAIAUSDT        | 17       | 41.18 %   |  6.69 % | $+87.80
AEROUSDT        | 8        | 75.00 %   |  2.63 % | $+10,722.07
ACXUSDT         | 13       | 15.38 %   |  7.43 % | $-6,451.26
ORCAUSDT        | 9        | 44.44 %   |  2.87 % | $+4,790.34
